name,address,website,phone
Siemens Digital Industries Software India Pvt Ltd,"Survey No. 21, Tower B & C Cummins India Office Campus, Baner - Balewadi Rd, Laxman Nagar, Baner, Pune, Maharashtra 411045",siemens.com,02039182000
TIAA India,"Tower 4, World Trade Center, Near, EON Free Zone, Kharadi, Pune, Maharashtra 411014",siemens.com,02039182000
,"Tower 4, World Trade Center, Near, EON Free Zone, Kharadi, Pune, Maharashtra 411014",,
Siemens Digital Industries Software India Pvt Ltd,"Survey No. 21, Tower B & C Cummins India Office Campus, Baner - Balewadi Rd, Laxman Nagar, Baner, Pune, Maharashtra 411045",siemens.com,02039182000
TIAA India,"Tower 4, World Trade Center, Near, EON Free Zone, Kharadi, Pune, Maharashtra 411014",siemens.com,02039182000
TDK India Private Limited,"E 22-25, 25-01, MIDC, Satpur Colony, Nashik, Maharashtra 422007",tdk-electronics.tdk.com,02532205100
TDK India Private Limited,"E 22-25, 25-01, MIDC, Satpur Colony, Nashik, Maharashtra 422007",tdk-electronics.tdk.com,02532205100
Econoxy Solutions Pvt. Ltd.,"Level 9, TOWER-2, WORLD TRADE CENTER, opp. EON Free Zone, EON Free Zone, Kharadi, Pune, Maharashtra 411014",econoxy.com,09921723212
Exr Tech Solutions Pvt.Ltd.,"Office No 312,C Wing, 3rd Floor Shoppers Orbit Mall, near Big Bazar, Vishrantwadi, Pune, Maharashtra 411015",exrtechsolutions.com,02067108525
Globant India Pvt. Ltd.,"4th & 5th Floor, IT8 Building, Blue Ridge SEZ, Rajiv Gandhi Infotech Park - Phase-I, Hinjewadi, Pune, Maharashtra 411057",globant.com,02067105300
Ellipse Software Development Pvt. Ltd.,"Premium Point, Office 105, 1st Floor, Jungli Maharaj Road, Opp. Modern High School, Shivaji-Nagar, Pune, Maharashtra 411005",ellipsesoftware.com,02060200156
Ellipse Software Development Pvt. Ltd.,"Premium Point, Office 105, 1st Floor, Jungli Maharaj Road, Opp. Modern High School, Shivaji-Nagar, Pune, Maharashtra 411005",ellipsesoftware.com,02060200156
Ellipse Software Development Pvt. Ltd.,"Premium Point, Office 105, 1st Floor, Jungli Maharaj Road, Opp. Modern High School, Shivaji-Nagar, Pune, Maharashtra 411005",ellipsesoftware.com,02060200156
Ellipse Software Development Pvt. Ltd.,"Premium Point, Office 105, 1st Floor, Jungli Maharaj Road, Opp. Modern High School, Shivaji-Nagar, Pune, Maharashtra 411005",ellipsesoftware.com,02060200156
Ellipse Software Development Pvt. Ltd.,"Premium Point, Office 105, 1st Floor, Jungli Maharaj Road, Opp. Modern High School, Shivaji-Nagar, Pune, Maharashtra 411005",ellipsesoftware.com,02060200156
Ellipse Software Development Pvt. Ltd.,"Premium Point, Office 105, 1st Floor, Jungli Maharaj Road, Opp. Modern High School, Shivaji-Nagar, Pune, Maharashtra 411005",ellipsesoftware.com,02060200156
Ellipse Software Development Pvt. Ltd.,"Premium Point, Office 105, 1st Floor, Jungli Maharaj Road, Opp. Modern High School, Shivaji-Nagar, Pune, Maharashtra 411005",ellipsesoftware.com,02060200156
Ellipse Software Development Pvt. Ltd.,"Premium Point, Office 105, 1st Floor, Jungli Maharaj Road, Opp. Modern High School, Shivaji-Nagar, Pune, Maharashtra 411005",ellipsesoftware.com,02060200156
Ellipse Software Development Pvt. Ltd.,"Premium Point, Office 105, 1st Floor, Jungli Maharaj Road, Opp. Modern High School, Shivaji-Nagar, Pune, Maharashtra 411005",ellipsesoftware.com,02060200156
Ellipse Software Development Pvt. Ltd.,"Premium Point, Office 105, 1st Floor, Jungli Maharaj Road, Opp. Modern High School, Shivaji-Nagar, Pune, Maharashtra 411005",ellipsesoftware.com,02060200156
Ellipse Software Development Pvt. Ltd.,"Premium Point, Office 105, 1st Floor, Jungli Maharaj Road, Opp. Modern High School, Shivaji-Nagar, Pune, Maharashtra 411005",ellipsesoftware.com,02060200156
Ellipse Software Development Pvt. Ltd.,"Premium Point, Office 105, 1st Floor, Jungli Maharaj Road, Opp. Modern High School, Shivaji-Nagar, Pune, Maharashtra 411005",ellipsesoftware.com,02060200156
Ellipse Software Development Pvt. Ltd.,"Premium Point, Office 105, 1st Floor, Jungli Maharaj Road, Opp. Modern High School, Shivaji-Nagar, Pune, Maharashtra 411005",ellipsesoftware.com,02060200156
Exr Tech Solutions Pvt.Ltd.,"Office No 312,C Wing, 3rd Floor Shoppers Orbit Mall, near Big Bazar, Vishrantwadi, Pune, Maharashtra 411015",exrtechsolutions.com,02067108525
Globant India Pvt. Ltd.,"4th & 5th Floor, IT8 Building, Blue Ridge SEZ, Rajiv Gandhi Infotech Park - Phase-I, Hinjewadi, Pune, Maharashtra 411057",globant.com,02067105300
Exr Tech Solutions Pvt.Ltd.,"Office No 312,C Wing, 3rd Floor Shoppers Orbit Mall, near Big Bazar, Vishrantwadi, Pune, Maharashtra 411015",exrtechsolutions.com,02067108525
Globant India Pvt. Ltd.,"4th & 5th Floor, IT8 Building, Blue Ridge SEZ, Rajiv Gandhi Infotech Park - Phase-I, Hinjewadi, Pune, Maharashtra 411057",globant.com,02067105300
Sasken Technologies Limited,"IT-5, Qubix Business Park Pvt. Ltd-SEZ, S.No.154/6, Phase 1, Hinjawadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Maharashtra 411057",sasken.com,02067928900
DevLogic Technologies,"Office No : 313, 3rd floor, CITY CENTRE Behind Persistant Suvey No.138/1,, Hinjewadi, Pune, Maharashtra 411057",sasken.com,02067928900
NeoSOFT,"NTPL SEZ (Blueridge), IT-08/09, 10th Floor, Hinjewadi Phase 1 Rd, Hinjawadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Maharashtra 411057",neosofttech.com,02240500600
Cisco Systems pvt ltd,"05/1, P/17 phase 1, Rajiv Gandhi Infotech park, Hinjewadi,Pimpri Chinchwad, Pune, Maharashtra 411057",cisco.com,02042042100
Bentley Systems,"GW8H+MM4, Cybercity, Magarpatta City, Hadapsar, Pune, Maharashtra 411028",bentley.com,02066021000
Entrata India,"14th Floor, International Tech Park, Block 1, Wing 1, Grant Rd, Pune, Maharashtra 411014",entrata.in,09028208877
Red Hat India Private Limited,"Level 3, Tower 6, Magarpatta Inner Circle, Cybercity, Magarpatta, Hadapsar, Pune, Maharashtra 411013",redhat.com,02066817173
Capita India,"Wing C Marisoft, Kalyani Nagar, Annex, Wadgaon Sheri, Pune, Maharashtra 411014",redhat.com,02066817173
Avaya India Pvt. Ltd.,"Level 2, Cybercity Tower 11, Wing A, Magarpatta, Pune, Maharashtra 411028",avaya.com,18001030093
SYSTEMS PLUS TRANSFORMATIONS LLP,"Pentagon Tower - 3, Unit No. 104, 1st Floor, Magarpatta, Hadapsar, Pune, Maharashtra 411013",sptr.co,02067263500
eInfochips,"Unit B, Level 3, Wing B (Part), Tower 9, Magarpatta Township Magarpatta City, Village Hadapsar, Taluka Haveli, Maharashtra 411013",einfochips.com,02030262500
Techila Global Services (TGS),"402, SUMMER COURT, Magarpatta, Hadapsar, Pune, Maharashtra 411028",techilaservices.com,09090803080
Reflexis Systems India Private Limited,"Tower 10, Magarpatta Inner Circle, Cybercity, Magarpatta, Hadapsar, Pune, Maharashtra 411028",reflexisinc.com,02066257300
AppDirect India,"level 6 ,Tower 12, Magarpatta Inner Circle, Cybercity, Magarpatta City,, Hadapsar, Pune, Maharashtra 411028",appdirect.com,02065330008
SAP India,"Tower 12, Level 7, Cybercity, Magarpatta, Hadapsar, Pune, Maharashtra 411028",appdirect.com,02065330008
Capsilon Software Pvt. Ltd.,"Tower S4, Cybercity, Magarpatta, Hadapsar, Pune, Maharashtra 411028",capsilon.com,08008484904
Meganexus Ltd,"TOWER-2, MegaNexus Ltd India, Office 104, 1st Floor, Magarpatta, City, Pune, 411013",meganexus.com,07030884343
Manipal Technologies Ltd,"202, Pentagon Towers 2,, Magarpatta, Hadapsar, Pune, Maharashtra 411028",manipaltechnologies.com,07030884343
Nesecure Networks Pvt. Ltd.,"Pentagon, 001, P3, Magarpatta, Hadapsar, Pune, Maharashtra 411028",manipaltechnologies.com,18605004444
SoftwareGen Technologies,"5050, 5th Floor Marvel Fuego, Opp to season mall, above Nexa Showroom, Hadapsar, Pune, Maharashtra 411028",softwaregen.com,08551958585
BNY Mellon International Ops India Ltd,"Level 3, Tower S3, Cybercity, Magarpatta, Hadapsar, Pune, Maharashtra 411013",bnymellon.com,02030443000
Softdel Systems Pvt. Ltd.,"3rd Floor, Pentagon 4, Magarpatta, Hadapsar, Pune, Maharashtra 411028",softdel.com,02030443000
Caresoft Global Private Limited,"GW6F+JQ2, Magarpatta, Hadapsar, Pune, Maharashtra 411013",caresoftglobal.com,02030443000
Datafortune Software Solutions Pvt. Ltd.,"403, 4th Floor, Pentagon P-3, Magarpatta, Hadapsar, Pune, Maharashtra 411028",datafortune.com,02030443000
Mitz Technologies,"Shop No. 1, Shree Samarth Plaza,, Thite Nagar, Kharadi, Pune, Maharashtra 411014",datafortune.com,09930206830
Isobar World Services,"HX23+WVH, Grant Rd, Vitthal Nagar, Kharadi, Pune, Maharashtra 411014",datafortune.com,09930206830
Edzeal Technologies,"#008, 6th Floor, City Vista Business Park, Koltepatil, Downtown Rd, Kharadi, Pune, Maharashtra 411014",edzeal.com,08793800021
Crunchersoft Technologies Private Limited,"Office No-3, 3rd floor, J.P.Heights, Opposite Reliance Mart, Kharadi, Pune, Maharashtra 411014",crunchersoft.com,08975626060
InfoIntensify System,"13/1, Kharadi, behind Hotel Premier Inn, Pune, Maharashtra 411014",crunchersoft.com,09595660002
rtCamp Solutions Private Limited,"Pride Icon, 107, 14/1/1, MH SH 27, Thite Nagar, Kharadi, Pune, Maharashtra 411014",rtcamp.com,02027012949
Bytzsoft Technologies Pvt. Ltd.,"308, Pride Icon, Mundhwa - Kharadi Rd, Thite Vasti, Thite Nagar, Kharadi, Pune, Maharashtra 411014",bytzsoft.com,02027012904
Service Stack Technologies Pvt. Ltd.,"Service Stack Technologies, Unit No: 809, Tower-2, 8th Floor, World Trade Center, Kharadi, Pune, Maharashtra 411014",bytzsoft.com,02027012904
Crossbow InfoTech Pvt. Ltd,"First Floor,3/2,IT Knowledge Park,MIDC, Kharadi South Main Road, Thite Nagar, Kharadi, Pune, Maharashtra 411014",bytzsoft.com,02040720100
WebRelier Software Solutions Pvt. Ltd.,"43/3/A, Sakshi Niwas, Lane No.6, behind Balaji Hospital, near Kharadi Bypass, Pathare - Thube Nagar, Kharadi, Pune, Maharashtra 411014",webrelier.com,09130571495
GodSpeed Games,"Tower 1 World Trade Center 610, 411014, Dholepatil Farms Rd, EON Free Zone, Kharadi, Pune, Maharashtra 411014",godspeedgames.com,02065002675
Upayogee Software India Pvt Ltd,"216 Tower 2,World Trade Center, Kharadi, Pune, Maharashtra 411014",godspeedgames.com,07420052020
Flo Group,"World Trade Center, Dholepatil Farms Rd, EON Free Zone, Kharadi, Pune, Maharashtra 411014",flo-group.com,783690535
Qliktag Software Pvt. Ltd.,"103, Tower1, World Trade Centre,, Kharadi, Pune, Maharashtra 411014",flo-group.com,09497603888
Techbro Software Private Limited,"Office No 16, 16A, Wing-A, City Vista City Vista, Fountain Road, Kharadi, Pune, Maharashtra 411014",techbrosoftware.com,07887870606
Ranosys Technologies,"429, Imperium Alpha, Rajaram Patil Nagar, Vitthal Nagar, Kharadi, Pune, Maharashtra 411014",ranosys.com,07887870606
Aexonic Technologies,"HW3X+G3F, Rakshak Nagar, Kharadi, Pune, Maharashtra 411014",aexonic.com,02064007191
Gird Technologies,"Unit 608, Stellar Business Spaces Opp to Zensar IT tower, Kharadi, Pune, Maharashtra 411014",girdtechnologies.com,08149173777
Broadcom Software,"Cluster B, Wing 2, EON Free Zone, Kharadi, Pune, Maharashtra 411014",broadcom.com,08149173777
Eaton India Engineering Center,"Cluster B, C, EON Free Zone, Kharadi, Pune, Maharashtra 411014",eaton.com,02066337000
"Seagate Technology, Cluster E, EON IT Park","Eon Free Zone Cluster-E, EON Free Zone, Cluster E, First floor, Kharadi, Pune, Maharashtra 411014",seagate.com,02066337000
Maxxton India Technologies Pvt Ltd.,"HW67+R53, Sakore Nagar, Viman Nagar, Pune, Maharashtra 411014",maxxton.com,02069456945
FIS Solutions (India) Pvt. Ltd.,"Westend Center One, 169/1, Sangvi Kesri Rd, Harmony Society, Ward No. 8, Wireless Colony, Aundh, Pune, Maharashtra 411007",fisglobal.com,02041491000
Allscripts,"Cluster D, Wing, 2, EON Free Zone, Kharadi, Pune, Maharashtra 411014",allscripts.com,18008775678
Tietoevry India Pvt Ltd.,"Knowledge Park, MIDC, EON Free Zone, Kharadi, Pune, Maharashtra 411014",tietoevry.com,02067303000
Deqode,"First Floor, Above Axis Bank, Lalwani House, Sakore Nagar Rd, Viman Nagar, Pune, Maharashtra 411014",deqode.com,02067303000
ANSYS Software Pvt. Ltd.,"34, 1, MIDC, Phase 1, Hinjawadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Pimpri-Chinchwad, Maharashtra 411057",ansys.com,02066522500
"Leometric Technology Private Limited - Website, Web Application and Mobile Application Development Partner in Pune India.","City Center, 215 & 216, Hinjewadi Phase 1 Rd, Phase 1, Hinjawadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Pimpri-Chinchwad, Maharashtra 411057",leometric.com,09405276725
Dalmet Technology Pvt. Ltd,"HPPQ+FFH, City Center, Rajiv Gandhi IT Park,, Phase 1, Hinjawadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Maharashtra 411057",dalmettech.com,09405276725
Allygrow Technologies Pvt Ltd,"4A, ground floor, IT8, Qubix Business Park SEZ Township Blue Ridge Town Pune, Phase 1, Paranjpe Schemes, Hinjawadi, Pune, Maharashtra 411057",allygrow.com,02066801080
e-Zest Solutions,"3rd Floor, Building IT-09 Qubix Business Park - SEZ, Blue Ridge Town Pune, Phase 1, Hinjawadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Maharashtra 411057",e-zest.com,08055839378
Calsoft Inc,"3rd Floor, Building IT-09 Qubix Business Park - SEZ, Blue Ridge Town Pune, Phase 1, Hinjawadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Maharashtra 411057",e-zest.com,08055839378
NXG Labs Pvt Ltd,"2nd Floor, Madhuvant Villa, Rajyog Society, Virbhadra Nagar Road, Baner, Pune, Maharashtra 411045",nxglabs.in,08668962551
Lonar Technologies Private Limited,"Survey no 112/1/1 Plot Number 2 Road, Rajyog Cooperative Housing Society, Veerbhadra Nagar, Baner, Pune, Maharashtra 411045",lonartech.com,07620055131
Siemens Digital Industries Software India Pvt Ltd,"Survey No. 21, Tower B & C Cummins India Office Campus, Baner - Balewadi Rd, Laxman Nagar, Baner, Pune, Maharashtra 411045",siemens.com,02039182000
Vyom Labs Pvt. Ltd.,"Balewadi High St, Laxman Nagar, Baner, Pune, Maharashtra 411045",vyomlabs.com,02039182000
edynamics,"5th Floor, Westport, Pan Card Club Rd, above McDonalds, Baner, Pune, Maharashtra 411045",edynamics.co.in,09595018000
CoreView Systems Private Limited,"WESTEND MALL, C/o Suma Soft Pvt. Ltd. 2nd Floor, Westend Icon, Balewadi, Complex, Aundh, Maharashtra 411007",coreviewsystems.com,05108946873
Bluepineapple PH Office,"Survey # 1/1 A-13, Baner Road, Baner, behind Cafe Coffee Day, Pune, Maharashtra 411045",coreviewsystems.com,02040789292
PubMatic India Pvt. Ltd.,"4th Floor, Westend Icon, Aundh, Pune, Maharashtra 411007",pubmatic.com,02040789292
Groots Software Technologies Pvt Ltd.,"201 Swarajya Building, Opposite to Dot fit Gym, Jupiter hospital, Baner Rd, Baner, Pune, Maharashtra 411045",groots.in,07350288881
Espoir Technologies Private Limited,"Mantri Avenue, near C-DAC Innovation Centre, near NCL, Mansarovar, 2, Panchawati, Pashan, Pune, Maharashtra 411008",i-max.org,02025897022
INTELLECT LOGIC SOFTWARES PVT LTD,"10, Eastern Paradise, Beside Prabhavee Tech Park, Baner, Pune, Maharashtra, Pune, Maharashtra 411045",intellect-logic.com,08007172849
NirvanaXP - Point of Sale Simplified,"Office No 108,109 Suyash Commercial Mall, Baner Rd, Pune, Maharashtra 411045",nirvanaxp.com,07498385758
Enzigma Software Pvt. Ltd.,"101, Enzigma HQ2 Ln, behind Croma - Baner, off Baner Road, Veerbhadra Nagar, Baner, Pune, Maharashtra 411045",enzigma.com,08448843694
DbCom Systems Software (I) Pvt. Ltd,"Office 302 Crystal Empire, Pune, near Amar Business Park, Laxman Nagar, Baner, Pune, Maharashtra 411045",dbcomsys.com,+1609-651-8222
EnvisioDevs Private Limited,"Mihir Classic - I, Baner Rd, Lalit Estate, Baner, Pune, Maharashtra 411045",envisiodevs.com,09833216207
Entytle,"Nucleus Mall, AWFIS Space Solutions Pvt.Ltd 2nd Floor, 1st Church Rd, opposite Commissioner office, Pune, Maharashtra 411045",entytle.com,06506877293
